Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Product ID,Category,Sub_Category,Product,Quantity,Sales,Discount,Profit
30,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,FUR-FU-10004848,Kitchen ,Samsung,Stove,3,124.2,0.2,15.525
31,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-EN-10001509,Living Room,Sharp ,Vacuum Cleaner,2,3.264,0.2,1.1016
32,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-AR-10004042,Living Room,LG,Wall Fan,6,86.304,0.2,9.7092
33,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-BI-10001525,Living Room,Sharp,Wall Fan,6,6.858,0.7,-5.715
34,US-2019-150630,17-09-19,21-09-19,Standard Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-AR-10001683,Living Room,LG,Vacuum Cleaner,2,15.76,0.2,3.546
35,CA-2017-107727,19-10-17,23-10-17,Second Class,MA-17560,Matt Abelman,Home Office,Malaysia,Selangor,OFF-PA-10000249,Living Room,LG,Ceiling Fan,3,29.472,0.2,9.9468
36,CA-2016-117590,08-12-16,10-12-16,First Class,GH-14485,Gene Hale,Corporate,Malaysia,Selangor,TEC-PH-10004977,Bathroom ,Toshiba,Water Heater,7,1097.544,0.2,123.4737
37,CA-2016-117590,08-12-16,10-12-16,First Class,GH-14485,Gene Hale,Corporate,Malaysia,Selangor,FUR-FU-10003664,Kitchen ,Samsung,Chimney Wood,5,190.92,0.6,-147.963
38,CA-2019-117415,27-12-19,31-12-19,Standard Class,SN-20710,Steve Nguyen,Home Office,Malaysia,Selangor,OFF-EN-10002986,Living Room,Sharp ,Ceiling Fan,9,113.328,0.2,35.415
39,CA-2019-117415,27-12-19,31-12-19,Standard Class,SN-20710,Steve Nguyen,Home Office,Malaysia,Selangor,FUR-BO-10002545,Kitchen ,LG,Stove,3,532.3992,0.32,-46.9764
40,CA-2019-117415,27-12-19,31-12-19,Standard Class,SN-20710,Steve Nguyen,Home Office,Malaysia,Selangor,FUR-CH-10004218,Kitchen ,Panasonic,Stove,3,212.058,0.3,-15.147
41,CA-2019-117415,27-12-19,31-12-19,Standard Class,SN-20710,Steve Nguyen,Home Office,Malaysia,Selangor,TEC-PH-10000486,Bathroom ,Toshiba,Water Heater,4,371.168,0.2,41.7564
42,CA-2017-120999,10-09-17,15-09-17,Standard Class,LC-16930,Linda CazaSamsungas,Corporate,Malaysia,Selangor,TEC-PH-10004093,Bathroom ,Toshiba,Water Heater,4,147.168,0.2,16.5564
43,CA-2016-101343,17-07-16,22-07-16,Standard Class,RA-19885,Ruben Ausman,Corporate,Malaysia,Selangor,OFF-ST-10003479,Living Room,Toshiba,Vacuum Cleaner,2,77.88,0,3.894
44,CA-2017-139619,19-09-17,23-09-17,Standard Class,ES-14080,Erin SSamsungth,Corporate,Malaysia,Selangor,OFF-ST-10003282,Living Room,Toshiba,Vacuum Cleaner,2,95.616,0.2,9.5616
45,CA-2016-118255,11-03-16,13-03-16,First Class,ON-18715,OLGa Nelson,Corporate,Malaysia,Selangor,TEC-AC-10000171,Bathroom ,Hitachi,Water Heater,2,45.98,0,19.7714
46,CA-2016-118255,11-03-16,13-03-16,First Class,ON-18715,OLGa Nelson,Corporate,Malaysia,Selangor,OFF-BI-10003291,Living Room,Sharp,Vacuum Cleaner,2,17.46,0,8.2062
47,CA-2018-146703,20-10-18,25-10-18,Second Class,PO-18865,Patrick O'Donnell,Consumer,Malaysia,Selangor,OFF-ST-10001713,Living Room,Toshiba,Wall Fan,4,211.96,0,8.4784
48,CA-2016-169194,20-06-16,25-06-16,Standard Class,LH-16900,Lena Hernandez,Consumer,Malaysia,Selangor,TEC-AC-10002167,Bathroom ,Hitachi,Water Heater,3,45,0,4.95
49,CA-2016-169194,20-06-16,25-06-16,Standard Class,LH-16900,Lena Hernandez,Consumer,Malaysia,Selangor,TEC-PH-10003988,Bathroom ,Toshiba,Water Heater,2,21.8,0,6.104
50,CA-2019-115742,18-04-19,22-04-19,Standard Class,DP-13000,Darren Powers,Consumer,Malaysia,Selangor,OFF-BI-10004410,Living Room,Sharp,Wall Fan,6,38.22,0,17.9634
51,CA-2019-115742,18-04-19,22-04-19,Standard Class,DP-13000,Darren Powers,Consumer,Malaysia,Selangor,OFF-LA-10002762,Living Room,Panasonic,Wall Fan,6,75.18,0,35.3346
52,CA-2019-115742,18-04-19,22-04-19,Standard Class,DP-13000,Darren Powers,Consumer,Malaysia,Selangor,FUR-FU-10001706,Kitchen ,Samsung,Stove,2,6.16,0,2.9568
53,CA-2019-115742,18-04-19,22-04-19,Standard Class,DP-13000,Darren Powers,Consumer,Malaysia,Selangor,FUR-CH-10003061,Kitchen ,Panasonic,Refrigerator,1,89.99,0,17.0981
54,CA-2016-105816,11-12-16,17-12-16,Standard Class,JM-15265,Janet Molinari,Corporate,Malaysia,Melaka,OFF-FA-10000304,Living Room,Sharp,TV_75(INCHES),7,15.26,0,6.2566
55,CA-2016-105816,11-12-16,17-12-16,Standard Class,JM-15265,Janet Molinari,Corporate,Malaysia,Melaka,TEC-PH-10002447,Bathroom ,Toshiba,Water Heater,5,1029.95,0,298.6855
56,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,OFF-ST-10000604,Living Room,Toshiba,Wall Fan,6,208.56,0,52.14
57,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,OFF-PA-10001569,Living Room,LG,TV_50(INCHES),5,32.4,0,15.552
58,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,FUR-CH-10003968,Kitchen ,Panasonic,Chimney Wood,5,319.41,0.1,7.098
59,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,OFF-PA-10000587,Living Room,LG,Vacuum Cleaner,2,14.56,0,6.9888
60,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,TEC-AC-10002167,Bathroom ,Hitachi,Water Heater,2,30,0,3.3
61,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,OFF-BI-10001460,Living Room,Sharp,Wall Fan,4,48.48,0.2,16.362
62,CA-2016-111682,17-06-16,18-06-16,First Class,TB-21055,Ted Butterfield,Consumer,Malaysia,Melaka,OFF-AR-10001868,Living Room,LG,Air Conditioner,1,1.68,0,0.84
63,CA-2019-135545,24-11-19,30-11-19,Standard Class,KM-16720,Kunst Samsungller,Consumer,Malaysia,Selangor,TEC-AC-10004633,Bathroom ,Hitachi,Water Heater,2,13.98,0,6.1512
64,CA-2019-135545,24-11-19,30-11-19,Standard Class,KM-16720,Kunst Samsungller,Consumer,Malaysia,Selangor,OFF-BI-10001078,Living Room,Sharp,Wall Fan,6,25.824,0.2,9.3612
65,CA-2019-135545,24-11-19,30-11-19,Standard Class,KM-16720,Kunst Samsungller,Consumer,Malaysia,Selangor,OFF-PA-10003892,Living Room,LG,Ceiling Fan,3,146.73,0,68.9631
66,CA-2019-135545,24-11-19,30-11-19,Standard Class,KM-16720,Kunst Samsungller,Consumer,Malaysia,Selangor,FUR-FU-10000397,Kitchen ,Samsung,Refrigerator,4,79.76,0,22.3328
67,US-2019-164175,30-04-19,05-05-19,Standard Class,PS-18970,Paul Stevenson,Home Office,Malaysia,Selangor,FUR-CH-10001146,Kitchen ,Panasonic,Chimney Wood,5,213.115,0.3,-15.2225
68,CA-2018-106376,05-12-18,10-12-18,Standard Class,BS-11590,Brendan Sweed,Corporate,Malaysia,Selangor,OFF-AR-10002671,Living Room,LG,TV_60(INCHES),8,1113.024,0.2,111.3024
69,CA-2018-106376,05-12-18,10-12-18,Standard Class,BS-11590,Brendan Sweed,Corporate,Malaysia,Selangor,TEC-PH-10002726,Bathroom ,Toshiba,Water Heater,4,167.968,0.2,62.988
70,CA-2016-119823,04-06-16,06-06-16,First Class,KD-16270,Karen Daniels,Consumer,Malaysia,Selangor,OFF-PA-10000482,Living Room,LG,Vacuum Cleaner,2,75.88,0,35.6636
71,CA-2016-106075,18-09-16,23-09-16,Standard Class,HM-14980,Henry MacAllister,Consumer,Malaysia,Melaka,OFF-BI-10004654,Living Room,Sharp,Air Conditioner,1,4.616,0.2,1.731
72,CA-2017-114440,14-09-17,17-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,Malaysia,Selangor,OFF-PA-10004675,Living Room,LG,Ceiling Fan,3,19.05,0,8.763
73,US-2019-134026,26-04-19,02-05-19,Standard Class,JE-15745,Joel Eaton,Consumer,Malaysia,Selangor,FUR-CH-10000513,Kitchen ,Panasonic,Sandwich Maker,8,831.936,0.2,-114.3912
74,US-2019-134026,26-04-19,02-05-19,Standard Class,JE-15745,Joel Eaton,Consumer,Malaysia,Selangor,FUR-FU-10003708,Kitchen ,Samsung,Stove,2,97.04,0.2,1.213
75,US-2019-134026,26-04-19,02-05-19,Standard Class,JE-15745,Joel Eaton,Consumer,Malaysia,Selangor,OFF-ST-10004123,Living Room,Toshiba,Air Conditioner,1,72.784,0.2,-18.196
76,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Corporate,Malaysia,Selangor,OFF-BI-10004182,Living Room,Sharp,Ceiling Fan,3,1.248,0.8,-1.9344
77,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Corporate,Malaysia,Selangor,FUR-FU-10000260,Kitchen ,Samsung,Stove,3,9.708,0.6,-5.8248
78,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Corporate,Malaysia,Selangor,OFF-ST-10000615,Living Room,Toshiba,Ceiling Fan,3,27.24,0.2,2.724
79,US-2018-147606,26-11-18,01-12-18,Second Class,JE-15745,Joel Eaton,Consumer,Malaysia,Selangor,FUR-FU-10003194,Kitchen ,Samsung,Chimney Wood,5,19.3,0.6,-14.475
80,CA-2016-127208,12-06-16,15-06-16,First Class,SC-20770,StewLG CarSamsungchael,Corporate,Malaysia,Johor,OFF-AP-10002118,Living Room,Samsung,Air Conditioner,1,208.16,0,56.2032
81,CA-2016-127208,12-06-16,15-06-16,First Class,SC-20770,StewLG CarSamsungchael,Corporate,Malaysia,Johor,OFF-BI-10002309,Living Room,Sharp,Ceiling Fan,3,16.74,0,8.0352
82,CA-2018-139451,12-10-18,16-10-18,Standard Class,DN-13690,Duane Noonan,Consumer,Malaysia,Selangor,OFF-AR-10002053,Living Room,LG,TV_50(INCHES),5,14.9,0,4.172
83,CA-2018-139451,12-10-18,16-10-18,Standard Class,DN-13690,Duane Noonan,Consumer,Malaysia,Selangor,OFF-ST-10002370,Living Room,Toshiba,Air Conditioner,1,21.39,0,6.2031
84,CA-2019-149734,03-09-19,08-09-19,Standard Class,JC-16105,Julie Creighton,Corporate,Malaysia,Selangor,OFF-EN-10000927,Living Room,Sharp ,TV_75(INCHES),7,200.984,0.2,62.8075
85,US-2017-119662,13-11-17,16-11-17,First Class,CS-12400,Christopher Schild,Home Office,Malaysia,Selangor,OFF-ST-10003656,Living Room,Toshiba,Ceiling Fan,3,230.376,0.2,-48.9549
86,CA-2017-140088,28-05-17,30-05-17,Second Class,PO-18865,Patrick O'Donnell,Consumer,Malaysia,Perak,FUR-CH-10000863,Kitchen ,Panasonic,Stove,2,301.96,0,33.2156
87,CA-2017-155558,26-10-17,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Consumer,Malaysia,Selangor,TEC-AC-10001998,Bathroom ,Hitachi,Water Heater,1,19.99,0,6.7966
88,CA-2017-155558,26-10-17,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Consumer,Malaysia,Selangor,OFF-LA-10000134,Living Room,Panasonic,Vacuum Cleaner,2,6.16,0,2.9568
89,CA-2016-159695,05-04-16,10-04-16,Second Class,GM-14455,Gary Samsungtchum,Home Office,Malaysia,Selangor,OFF-ST-10003442,Living Room,Toshiba,TV_75(INCHES),7,158.368,0.2,13.8572
90,CA-2016-109806,17-09-16,22-09-16,Standard Class,JS-15685,Jim Sink,Corporate,Malaysia,Selangor,OFF-AR-10004930,Living Room,LG,Ceiling Fan,3,20.1,0,6.633
91,CA-2016-109806,17-09-16,22-09-16,Standard Class,JS-15685,Jim Sink,Corporate,Malaysia,Selangor,TEC-PH-10004093,Bathroom ,Toshiba,Water Heater,2,73.584,0.2,8.2782
92,CA-2016-109806,17-09-16,22-09-16,Standard Class,JS-15685,Jim Sink,Corporate,Malaysia,Selangor,OFF-PA-10000304,Living Room,LG,Air Conditioner,1,6.48,0,3.1104
93,CA-2019-149587,31-01-19,05-02-19,Second Class,KB-16315,Karl Braun,Consumer,Malaysia,Selangor,OFF-PA-10003177,Living Room,LG,Vacuum Cleaner,2,12.96,0,6.2208
94,CA-2019-149587,31-01-19,05-02-19,Second Class,KB-16315,Karl Braun,Consumer,Malaysia,Selangor,FUR-FU-10003799,Kitchen ,Samsung,Stove,3,53.34,0,16.5354
95,CA-2019-149587,31-01-19,05-02-19,Second Class,KB-16315,Karl Braun,Consumer,Malaysia,Selangor,OFF-BI-10002852,Living Room,Sharp,Vacuum Cleaner,2,32.96,0,16.1504
96,US-2017-109484,06-11-17,12-11-17,Standard Class,RB-19705,Roger Barcio,Home Office,Malaysia,Selangor,OFF-BI-10004738,Living Room,Sharp,Air Conditioner,1,5.682,0.7,-3.788
97,CA-2017-161018,09-11-17,11-11-17,Second Class,PN-18775,Parhena Norris,Home Office,Malaysia,Melaka,FUR-FU-10000629,Kitchen ,Samsung,Microwave Oven,7,96.53,0,40.5426
98,CA-2017-157833,17-06-17,20-06-17,First Class,KD-16345,Katherine Ducich,Consumer,Malaysia,Selangor,OFF-BI-10001721,Living Room,Sharp,Ceiling Fan,3,51.312,0.2,17.9592
99,CA-2016-149223,06-09-16,11-09-16,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Malaysia,Selangor,OFF-AP-10000358,Living Room,Samsung,Wall Fan,6,77.88,0,22.5852
100,CA-2016-158568,29-08-16,02-09-16,Standard Class,RB-19465,Rick Bensley,Home Office,Malaysia,Selangor,OFF-PA-10003256,Living Room,LG,TV_75(INCHES),7,64.624,0.2,22.6184
101,CA-2016-158568,29-08-16,02-09-16,Standard Class,RB-19465,Rick Bensley,Home Office,Malaysia,Selangor,TEC-AC-10001767,Bathroom ,Hitachi,Water Heater,3,95.976,0.2,-10.7973
102,CA-2016-158568,29-08-16,02-09-16,Standard Class,RB-19465,Rick Bensley,Home Office,Malaysia,Selangor,OFF-BI-10002609,Living Room,Sharp,Ceiling Fan,3,1.788,0.8,-3.0396
103,CA-2016-129903,01-12-16,04-12-16,Second Class,GZ-14470,Gary Zandusky,Consumer,Malaysia,Selangor,OFF-PA-10004040,Living Room,LG,Wall Fan,4,23.92,0,11.7208
104,US-2019-156867,13-11-19,17-11-19,Standard Class,LC-16870,Lena CaciLG,Consumer,Malaysia,Selangor,TEC-AC-10001552,Bathroom ,Hitachi,Water Heater,6,238.896,0.2,-26.8758
105,US-2019-156867,13-11-19,17-11-19,Standard Class,LC-16870,Lena CaciLG,Consumer,Malaysia,Selangor,FUR-FU-10004006,Kitchen ,Samsung,Stove,3,102.36,0.2,-3.8385
106,US-2019-156867,13-11-19,17-11-19,Standard Class,LC-16870,Lena CaciLG,Consumer,Malaysia,Selangor,OFF-BI-10002794,Living Room,Sharp,Ceiling Fan,3,36.882,0.7,-25.8174
107,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet MLGin,Consumer,Malaysia,Selangor,TEC-AC-10003499,Bathroom ,Hitachi,Water Heater,8,74.112,0.2,17.6016
108,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet MLGin,Consumer,Malaysia,Selangor,TEC-PH-10002844,Bathroom ,Toshiba,Water Heater,1,27.992,0.2,2.0994
109,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet MLGin,Consumer,Malaysia,Selangor,OFF-AR-10000390,Living Room,LG,Air Conditioner,1,3.304,0.2,1.0738
110,CA-2019-129476,15-10-19,20-10-19,Standard Class,PA-19060,Pete Armstrong,Home Office,Malaysia,Selangor,TEC-AC-10000844,Bathroom ,Hitachi,Water Heater,5,339.96,0.2,67.992
111,CA-2017-146780,25-12-17,30-12-17,Standard Class,CV-12805,Cynthia Voltz,Corporate,Malaysia,Melaka,FUR-FU-10001934,Kitchen ,Samsung,Stove,2,41.96,0,10.9096
112,CA-2016-128867,03-11-16,10-11-16,Standard Class,CL-12565,Clay Ludtke,Consumer,Malaysia,Pahang,OFF-AR-10000380,Living Room,LG,Vacuum Cleaner,2,75.96,0,22.788
113,CA-2016-128867,03-11-16,10-11-16,Standard Class,CL-12565,Clay Ludtke,Consumer,Malaysia,Pahang,OFF-BI-10003981,Living Room,Sharp,Wall Fan,6,27.24,0,13.3476
114,CA-2018-115259,25-08-18,27-08-18,Second Class,RC-19960,Ryan Crowe,Consumer,Malaysia,Selangor,OFF-FA-10000621,Living Room,Sharp,Vacuum Cleaner,14,40.096,0.2,14.5348
115,CA-2018-115259,25-08-18,27-08-18,Second Class,RC-19960,Ryan Crowe,Consumer,Malaysia,Selangor,OFF-EN-10002600,Living Room,Sharp ,Vacuum Cleaner,2,4.72,0.2,1.652
116,CA-2018-115259,25-08-18,27-08-18,Second Class,RC-19960,Ryan Crowe,Consumer,Malaysia,Selangor,OFF-PA-10004965,Living Room,LG,Ceiling Fan,3,23.976,0.2,7.4925
117,CA-2018-115259,25-08-18,27-08-18,Second Class,RC-19960,Ryan Crowe,Consumer,Malaysia,Selangor,OFF-EN-10002504,Living Room,Sharp ,Wall Fan,6,130.464,0.2,44.0316
118,CA-2019-110457,02-03-19,06-03-19,Standard Class,DK-13090,Dave Kipp,Consumer,Malaysia,Selangor,FUR-TA-10001768,Kitchen ,Meck,Stove,3,787.53,0,165.3813
119,US-2019-136476,05-04-19,10-04-19,Standard Class,GG-14650,Greg Guthrie,Corporate,Malaysia,Selangor,OFF-BI-10003650,Living Room,Sharp,Air Conditioner,1,157.794,0.7,-115.7156
120,CA-2016-103730,12-06-16,15-06-16,First Class,SC-20725,Steven CLGwright,Consumer,Malaysia,Selangor,FUR-FU-10002157,Kitchen ,Samsung,Stove,3,47.04,0,18.3456
121,CA-2016-103730,12-06-16,15-06-16,First Class,SC-20725,Steven CLGwright,Consumer,Malaysia,Selangor,OFF-BI-10003910,Living Room,Sharp,Wall Fan,4,30.84,0,13.878
122,CA-2016-103730,12-06-16,15-06-16,First Class,SC-20725,Steven CLGwright,Consumer,Malaysia,Selangor,OFF-ST-10000777,Living Room,Toshiba,Wall Fan,6,226.56,0,63.4368
123,CA-2016-103730,12-06-16,15-06-16,First Class,SC-20725,Steven CLGwright,Consumer,Malaysia,Selangor,OFF-EN-10002500,Living Room,Sharp ,Ceiling Fan,9,115.02,0,51.759
124,CA-2016-103730,12-06-16,15-06-16,First Class,SC-20725,Steven CLGwright,Consumer,Malaysia,Selangor,TEC-PH-10003875,Bathroom ,Toshiba,Water Heater,7,68.04,0,19.7316
125,US-2018-152030,26-12-18,28-12-18,Second Class,AD-10180,Alan DoSamsungnguez,Home Office,Malaysia,Selangor,FUR-CH-10004063,Kitchen ,Panasonic,Stove,3,600.558,0.3,-8.5794
126,US-2018-134614,20-09-18,25-09-18,Standard Class,PF-19165,Philip Fox,Consumer,Malaysia,Selangor,FUR-TA-10004534,Kitchen ,Meck,Blender,6,617.7,0.5,-407.682
127,US-2017-107272,05-11-17,12-11-17,Standard Class,TS-21610,Troy Staebel,Consumer,Malaysia,Selangor,OFF-BI-10003274,Living Room,Sharp,Vacuum Cleaner,2,2.388,0.7,-1.8308
128,US-2017-107272,05-11-17,12-11-17,Standard Class,TS-21610,Troy Staebel,Consumer,Malaysia,Selangor,OFF-ST-10002974,Living Room,Toshiba,TV_75(INCHES),7,243.992,0.2,30.499
129,US-2016-125969,06-11-16,10-11-16,Second Class,LS-16975,Lindsay Shagiari,Home Office,Malaysia,Selangor,FUR-CH-10001146,Kitchen ,Panasonic,Stove,2,81.424,0.2,-9.1602
130,US-2016-125969,06-11-16,10-11-16,Second Class,LS-16975,Lindsay Shagiari,Home Office,Malaysia,Selangor,FUR-FU-10003773,Kitchen ,Samsung,Stove,3,238.56,0,26.2416
131,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Corporate,Malaysia,Selangor,TEC-PH-10002293,Bathroom ,Toshiba,Water Heater,5,59.97,0.4,-11.994
132,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Corporate,Malaysia,Selangor,OFF-PA-10002377,Living Room,LG,Vacuum Cleaner,2,78.304,0.2,29.364
133,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Corporate,Malaysia,Selangor,OFF-FA-10002780,Living Room,Sharp,Ceiling Fan,9,21.456,0.2,6.9732
134,CA-2016-145583,13-10-16,19-10-16,Standard Class,LC-16885,Lena Creighton,Consumer,Malaysia,Selangor,OFF-PA-10001804,Living Room,LG,Ceiling Fan,3,20.04,0,9.6192
